SubjectID,afraid,angry,compassionate,guilty,happy,hopeful,interested,mad,pitying,proud,sad,sympathetic,unhappy,b_afraid,b_angry,b_guilty,b_happy,b_hopeful,b_interested,b_mad,b_proud ,b_sad,b_unhappy,admissions,andrew,badluck,brian,b_admissions,b_andrew,b_badluck,b_brian,experimenter,condition,age,sex,black,asian,latino,white,natam,pacisl,other,mom.ed,dad.ed,problem
110,1,1,1,1,1,1,1,1,6,1,3,5,3,6,3,1,1,1,1,3,1,6,6,1,2,5,5,6,1,6,3,1,2,19,1,0,1,0,0,0,0,0,6,6,0
113,1,4,5,1,1,4,4,3,6,1,4,5,3,1,3,1,1,2,1,3,1,6,6,3,5,1,3,4,1,4,4,1,2,18,2,0,0,0,1,0,0,0,6,6,0
114,1,2,4,1,1,2,4,2,4,3,4,4,1,1,3,2,1,2,4,3,1,4,5,3,5,3,3,4,4,5,4,1,1,19,2,0,1,0,0,0,0,0,5,5,0
115,1,3,2,1,1,1,5,3,5,1,3,6,2,1,1,4,1,1,1,1,1,6,6,1,5,4,3,1,3,6,4,1,2,18,2,0,0,0,1,0,0,0,5,3,0
116,1,4,5,1,1,1,6,4,5,1,4,5,4,2,2,3,1,1,1,1,1,6,6,1,4,4,4,1,1,6,1,1,2,19,2,0,0,0,1,0,0,0,6,6,0
117,1,4,5,1,2,1,5,3,4,2,2,5,2,2,5,4,1,1,1,5,1,6,6,3,4,4,4,5,3,5,3,1,1,18,1,0,0,0,1,0,0,0,6,6,0
118,1,1,3,1,2,1,2,1,2,1,3,1,2,4,5,1,2,2,2,4,1,5,5,2,4,1,6,5,5,2,2,1,1,18,2,0,0,0,1,0,0,0,5,6,0
119,1,5,4,1,1,1,4,5,5,1,2,5,5,1,2,2,1,1,1,2,1,6,6,1,5,2,4,3,1,5,3,1,2,20,1,0,1,0,0,0,0,0,5,6,0
120,1,2,5,1,2,1,3,1,6,1,5,6,1,4,2,1,1,1,1,1,1,5,6,1,3,1,3,4,4,5,1,1,1,18,2,0,0,1,0,0,0,0,4,4,0
121,4,2,4,4,1,2,4,5,6,1,5,6,5,5,4,2,1,1,1,4,1,5,6,3,5,3,4,4,2,5,5,1,2,18,2,0,0,0,1,0,0,0,6,6,0
122,1,3,5,1,2,4,4,2,4,1,2,4,4,4,4,3,1,2,3,4,1,6,6,2,4,3,4,4,4,5,3,1,1,19,2,0,0,0,1,0,0,0,6,4,0
123,1,1,3,1,3,5,4,1,4,4,1,5,1,3,1,3,1,1,1,2,1,4,5,6,3,3,6,1,5,6,2,1,1,18,1,1,0,0,0,0,0,0,2,2,0
124,1,5,3,1,2,1,4,5,3,1,2,4,3,1,3,2,1,2,3,2,1,3,4,6,6,4,5,5,1,6,6,1,2,19,1,0,1,0,0,0,0,0,2,5,0
125,1,2,5,1,1,1,4,2,3,1,3,5,3,3,2,3,1,1,1,2,1,5,5,2,5,2,3,3,4,4,2,1,2,19,2,0,0,0,1,0,0,0,5,6,0
126,1,1,5,1,3,5,4,1,4,3,5,5,1,5,4,4,4,3,4,4,2,5,4,2,2,1,5,4,4,6,3,1,1,18,2,0,1,0,0,0,0,0,1,1,0
127,1,3,2,1,1,1,4,1,4,1,5,5,4,3,5,2,6,1,2,5,2,6,6,1,4,3,5,5,5,6,1,1,1,18,2,0,1,0,0,0,0,0,5,5,0
128,1,1,4,1,1,1,3,1,4,1,3,4,1,4,1,1,1,2,1,1,1,5,5,1,5,2,4,3,1,3,5,1,2,20,2,1,0,0,0,0,0,0,6,6,0
129,1,2,3,1,1,1,2,2,3,2,3,3,3,2,2,1,1,1,1,2,1,5,5,4,4,1,2,4,2,4,4,1,2,20,2,0,0,0,1,0,0,0,5,5,0
130,1,1,3,2,3,4,5,1,3,3,2,2,1,3,3,1,2,4,2,3,1,4,4,3,4,3,3,NA,NA,NA,NA,1,2,18,2,0,0,0,1,0,0,0,5,6,0
131,1,2,5,1,1,1,2,2,1,1,2,5,4,2,1,3,1,4,1,2,1,5,5,4,3,5,2,5,5,5,1,1,1,18,2,0,1,0,1,0,0,0,5,5,0
132,1,5,4,1,1,4,3,5,4,6,5,5,3,4,5,4,1,4,5,6,1,6,6,3,5,5,4,1,1,6,3,1,2,19,1,0,0,0,1,0,0,0,5,6,0
133,3,5,4,4,1,3,5,5,5,2,5,6,5,6,6,4,1,2,4,6,1,6,6,5,5,2,5,6,3,6,5,1,1,18,2,0,0,0,1,0,0,0,6,6,0
134,1,3,4,1,1,1,4,2,5,2,3,5,2,4,2,1,1,2,1,3,1,5,5,1,6,4,2,2,4,4,4,1,2,18,1,0,0,0,1,0,0,0,6,6,0
135,4,3,4,2,2,4,3,2,5,3,4,5,3,4,5,3,2,3,1,6,2,5,5,3,5,6,1,4,4,5,2,1,1,18,1,0,1,0,0,0,0,0,6,6,0
136,1,3,6,1,2,2,4,3,2,3,4,6,2,4,1,1,1,2,2,1,4,5,6,1,4,2,3,1,1,5,3,1,2,19,2,0,0,0,1,0,0,0,3,3,0
137,2,5,4,1,1,1,5,4,4,1,5,5,2,4,2,1,1,1,1,1,1,5,5,5,5,5,4,1,1,6,1,1,1,19,2,0,0,0,1,0,0,0,5,6,0
138,1,3,4,1,1,2,5,4,3,2,5,5,4,1,5,2,2,4,3,5,5,5,4,2,2,2,5,5,4,3,3,1,1,18,2,0,0,0,1,0,0,0,5,5,0
139,1,2,4,2,3,3,5,2,5,2,4,6,2,2,4,3,1,2,5,4,2,5,5,5,5,1,2,NA,NA,NA,NA,1,1,18,1,0,1,0,0,0,0,0,6,6,0
140,1,3,3,1,1,2,2,3,4,1,4,4,3,1,2,2,1,2,1,2,1,2,3,2,4,3,3,2,3,3,3,1,2,18,2,0,0,0,1,0,0,0,3,3,0
141,1,1,4,2,4,1,3,1,4,1,1,4,1,2,2,1,1,1,1,3,1,5,5,1,3,3,5,2,4,5,3,1,1,20,1,0,0,0,1,0,0,0,6,6,0
142,1,4,5,1,1,2,6,4,4,1,2,5,5,1,2,1,1,2,1,2,1,5,5,2,5,1,4,2,1,5,2,1,2,18,2,0,1,0,0,0,0,0,1,1,0
143,1,3,4,1,1,3,4,5,6,1,5,4,5,2,3,4,1,3,5,4,1,6,6,2,4,2,5,4,2,5,6,1,2,18,2,1,0,0,0,0,0,0,6,5,0
144,1,1,3,1,2,2,4,1,5,4,2,5,1,1,1,1,2,2,3,1,1,4,4,2,2,1,5,5,3,5,3,1,1,20,2,0,0,0,1,0,0,0,5,6,0
145,1,4,5,1,1,3,4,5,6,2,4,5,3,2,2,3,1,2,3,2,1,5,6,2,6,2,3,4,1,5,3,1,2,19,1,0,0,0,1,0,0,0,6,3,0
147,1,4,3,1,1,2,4,4,3,1,5,3,4,3,5,3,1,1,1,5,1,6,5,4,4,4,5,5,5,6,2,1,1,19,1,0,0,0,1,0,0,0,5,5,0
148,3,6,3,1,1,1,5,4,6,1,5,5,4,4,1,5,1,1,1,1,1,6,5,4,6,4,2,3,1,3,5,1,2,18,1,1,0,0,0,0,0,0,6,2,0
149,1,2,2,1,2,1,3,1,2,1,2,4,4,1,1,1,1,1,3,1,1,3,4,5,5,2,5,4,4,5,2,1,1,19,1,0,1,0,0,0,0,0,5,6,0
150,1,1,4,1,1,3,2,1,3,1,3,4,2,1,1,1,1,2,1,2,1,3,5,2,2,1,4,2,3,6,2,1,1,18,2,1,0,0,0,0,0,0,2,2,0
151,1,4,4,1,1,2,4,4,5,3,4,5,2,2,4,2,1,2,2,4,1,1,5,2,5,5,3,4,5,5,2,1,2,NA,1,0,1,0,0,0,0,0,2,1,0
152,1,3,4,1,1,5,3,3,5,1,4,4,1,2,1,2,1,5,1,3,1,3,4,2,3,4,5,5,6,2,4,1,2,21,1,0,1,0,0,0,0,0,5,6,0
153,1,6,3,5,1,1,5,3,1,1,4,5,5,3,4,1,1,1,1,4,1,6,5,3,5,1,3,1,1,5,5,1,1,19,2,1,0,0,0,0,0,0,2,6,1
201,3,2,4,2,3,4,4,2,3,4,2,5,3,2,3,4,1,2,1,3,2,5,5,6,5,1,5,5,5,5,3,2,1,21,2,0,0,0,1,0,0,0,3,5,0
202,1,1,1,1,1,1,5,1,1,2,1,1,1,4,5,1,1,1,1,3,1,5,5,4,3,5,6,6,5,6,1,2,1,19,2,0,1,0,0,0,0,0,6,6,0
203,1,5,5,1,1,1,6,5,6,1,5,6,5,1,3,1,2,3,1,4,1,5,4,2,5,6,2,1,3,4,5,2,1,19,1,0,0,0,1,0,0,0,5,6,0
204,1,6,5,1,1,3,3,6,4,1,5,6,6,1,5,4,1,1,1,5,1,5,5,1,4,3,5,5,1,5,5,2,2,23,1,0,0,0,0,0,1,0,1,2,0
205,1,4,6,1,1,2,6,4,5,1,4,5,3,4,3,2,1,1,2,3,1,5,5,2,6,2,2,3,1,5,5,2,2,18,1,0,1,0,0,0,0,0,3,6,0
206,1,4,5,1,2,2,4,3,5,1,4,5,3,1,4,3,2,4,5,3,1,4,4,1,2,3,6,2,1,4,5,2,1,18,2,0,0,0,1,0,0,0,5,5,0
207,1,5,5,1,1,2,4,5,1,1,4,4,2,1,2,2,2,4,1,2,2,4,3,5,3,4,3,2,3,4,5,2,2,18,2,0,0,0,1,0,0,0,6,5,0
208,2,5,4,1,1,3,5,5,5,1,4,6,2,2,2,3,1,2,2,3,1,4,5,1,6,2,4,5,2,3,4,2,2,18,1,0,0,0,1,0,0,0,5,6,0
209,1,4,6,1,1,1,5,4,6,1,2,6,5,1,2,2,2,4,3,3,1,2,2,2,4,2,5,5,5,5,4,2,1,18,2,0,0,0,1,0,0,0,5,5,0
210,1,5,5,1,1,2,5,5,5,1,5,5,3,3,3,3,1,1,2,2,1,5,5,1,6,5,2,3,3,4,5,2,2,19,1,0,0,0,1,0,0,0,5,5,0
211,3,4,1,3,3,1,2,2,2,2,5,3,2,1,3,3,1,1,2,2,1,5,5,3,3,1,3,3,3,3,2,2,1,19,2,1,0,0,0,0,0,0,3,3,0
212,1,2,4,1,3,4,2,2,4,5,3,5,1,1,3,1,1,2,1,2,1,5,4,4,5,3,4,3,4,5,4,2,1,18,2,1,0,0,0,0,0,0,3,6,0
213,1,2,4,1,1,2,4,3,4,2,4,4,1,3,5,2,1,1,1,5,1,5,5,2,5,2,4,4,2,5,4,2,2,18,1,0,0,0,1,0,0,0,5,6,0
214,1,2,5,1,1,4,4,2,5,3,5,6,2,4,4,5,1,3,4,4,1,4,2,2,5,4,5,5,4,4,5,2,1,20,1,0,0,0,1,0,0,0,5,5,0
215,5,4,5,2,1,1,4,4,5,1,4,6,4,3,4,2,1,1,2,4,1,5,6,3,5,4,4,5,3,5,3,2,1,18,1,0,1,0,0,0,0,0,5,6,0
216,1,3,3,3,1,1,2,4,2,1,3,3,4,2,3,5,1,1,3,4,1,6,6,5,5,5,4,3,3,5,4,2,2,18,2,0,0,0,1,0,0,0,6,6,0
217,1,1,4,1,1,2,4,2,3,3,3,3,3,4,3,4,1,2,2,2,1,3,4,2,5,1,5,2,5,3,5,2,2,19,1,0,0,0,1,0,0,0,2,6,0
218,1,1,4,1,2,5,5,1,1,3,1,5,1,5,4,6,1,1,2,4,1,5,5,1,2,2,6,5,4,4,2,2,1,19,2,0,0,0,1,0,0,0,6,5,0
219,2,6,5,1,1,1,4,6,3,1,6,6,6,4,6,1,1,1,1,5,1,6,6,2,5,5,4,3,2,6,6,2,2,18,2,0,0,0,1,0,0,0,5,6,0
220,1,1,3,1,1,4,5,1,5,4,2,5,1,1,2,2,1,3,2,5,1,6,5,2,4,3,4,2,2,4,5,2,1,19,1,0,0,0,1,0,0,0,6,6,0
221,1,5,6,1,1,4,4,6,3,1,2,6,3,4,3,1,1,3,3,3,1,5,2,1,4,2,4,1,2,2,5,2,2,21,2,0,0,0,1,0,0,0,4,6,0
222,1,2,5,1,1,6,5,2,6,4,5,5,3,2,4,3,1,3,3,4,1,5,6,3,5,3,4,3,3,5,6,2,2,18,2,0,0,0,1,0,0,0,5,6,0
223,1,5,6,3,1,1,5,5,6,1,5,6,4,1,1,4,1,1,3,1,1,5,5,1,4,4,3,4,1,5,6,2,2,19,2,0,1,0,0,0,0,0,4,3,0
224,1,1,4,1,3,3,5,1,2,4,2,4,1,1,1,1,1,1,1,1,1,4,4,1,1,2,5,5,4,3,1,2,1,19,2,1,0,0,0,0,0,0,1,2,0
225,1,3,5,1,1,5,5,3,1,1,4,4,4,4,3,4,1,3,2,3,1,4,5,4,2,1,5,5,5,4,2,2,1,18,1,1,0,0,1,0,0,0,6,5,0
226,1,3,5,1,1,3,5,3,5,1,5,5,4,3,2,1,1,1,3,2,1,5,6,4,1,1,4,2,1,5,6,2,1,18,2,0,1,0,0,0,0,0,5,6,0
227,1,3,5,2,1,1,2,1,2,1,6,4,3,1,2,2,1,2,3,2,1,6,6,5,5,2,4,4,1,6,5,2,2,19,2,0,0,0,1,0,0,0,4,4,0
228,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,4,4,3,2,2,6,3,1,5,3,2,2,19,1,0,0,0,1,0,0,0,5,6,0
229,1,1,2,1,1,3,2,1,4,1,1,3,1,4,6,2,1,1,1,5,1,5,6,6,1,1,6,6,5,6,3,2,2,18,1,0,1,0,0,0,0,0,5,5,0
230,1,4,4,1,3,1,4,3,3,1,2,5,5,2,4,2,1,1,3,5,1,6,5,4,5,5,4,5,5,5,4,2,1,20,2,0,0,1,0,0,0,0,6,6,0
231,1,2,3,1,1,1,2,2,2,1,3,5,1,1,3,3,2,2,2,3,1,3,4,6,3,5,3,5,5,5,4,2,1,18,2,0,0,0,1,0,0,0,5,2,0
232,1,1,3,1,1,3,3,2,3,3,3,3,2,1,4,1,1,1,1,4,1,5,5,2,3,2,5,5,2,5,1,2,1,21,2,0,1,0,0,0,0,0,2,5,0
233,2,3,5,1,1,1,2,3,5,1,5,5,5,4,5,2,1,1,1,5,1,5,6,2,3,2,3,5,3,5,2,2,1,19,1,0,0,0,1,0,0,0,6,6,0
234,2,5,5,1,1,1,6,5,5,1,5,6,6,4,3,1,1,1,1,3,1,5,5,3,6,1,1,4,1,6,4,2,2,21,1,1,0,0,0,0,0,0,4,4,0
235,1,5,4,2,1,1,5,5,5,1,4,5,4,1,4,1,1,1,3,4,1,5,5,2,5,3,2,4,1,2,5,2,2,18,1,0,0,0,1,0,0,0,2,3,0
236,1,3,5,1,2,1,4,3,5,1,4,5,3,3,4,1,1,1,2,4,1,6,6,2,3,3,5,4,6,6,1,2,1,18,2,0,0,0,1,0,0,0,4,2,0
237,1,2,3,1,1,4,4,2,2,1,2,4,1,2,2,3,1,5,5,2,1,4,4,2,4,1,5,4,1,2,5,2,2,20,2,0,1,0,0,0,0,0,2,3,0
238,3,4,5,1,1,2,5,4,4,1,4,6,5,4,4,3,1,3,4,4,1,6,6,3,3,1,5,3,5,4,5,2,1,20,2,0,0,0,1,0,0,0,5,2,0
239,1,3,4,3,4,2,4,3,5,1,4,5,3,1,4,2,1,1,2,5,1,5,5,3,4,1,4,5,4,5,2,2,1,18,1,0,0,0,1,0,0,0,6,6,0
240,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,2,3,4,1,5,4,1,4,1,6,4,6,6,4,2,2,20,1,1,0,0,0,0,0,0,5,5,0
241,1,4,3,1,1,1,5,5,5,1,4,4,5,2,4,2,1,1,2,3,1,5,6,5,3,2,6,5,5,6,2,2,1,20,2,0,0,0,1,0,0,0,5,5,0
242,1,2,2,1,1,1,1,2,4,1,2,2,1,1,2,3,1,1,1,2,1,5,4,1,5,4,3,1,1,5,5,2,2,18,1,0,1,0,0,0,0,0,5,6,0
243,1,1,3,1,1,1,3,1,4,1,3,4,2,2,3,2,1,1,1,3,1,3,4,2,1,3,4,3,4,5,2,2,1,20,1,0,1,0,0,0,0,0,3,3,0
244,1,1,2,1,2,3,3,1,3,4,1,3,1,4,5,2,1,2,3,5,1,4,5,2,3,2,4,3,4,3,2,2,2,19,1,0,0,0,0,0,0,1,5,2,0
245,1,1,1,1,3,3,2,1,4,2,1,3,1,3,4,2,1,2,2,4,1,4,5,2,2,2,5,5,4,6,1,2,1,19,2,0,0,0,1,0,0,0,3,3,0
246,1,4,2,1,1,3,2,3,1,1,5,1,3,2,4,4,3,5,3,4,3,4,5,2,6,1,6,5,3,5,2,2,1,19,1,0,1,0,0,0,0,0,4,6,0
247,1,2,5,1,2,2,6,3,4,1,3,6,4,2,1,1,1,2,2,2,1,6,6,3,5,5,3,4,3,4,3,2,2,20,2,0,0,0,1,0,0,0,5,5,0
249,1,4,6,1,1,1,5,4,6,1,4,6,6,3,5,1,1,1,2,5,1,6,6,5,1,4,3,5,1,5,5,2,1,18,2,0,0,0,1,0,0,0,4,4,0
250,2,6,5,1,1,3,5,5,4,1,5,5,4,4,2,4,1,2,1,2,1,5,5,1,5,1,3,5,2,4,4,2,2,18,1,0,0,1,1,0,0,0,3,5,0
251,1,5,5,1,1,1,4,5,5,1,5,6,5,1,1,1,1,1,5,1,1,5,6,2,5,1,5,2,2,6,5,2,2,18,2,0,0,0,1,0,0,0,5,6,0
252,1,1,5,2,1,1,4,1,4,5,2,5,1,1,3,1,1,1,1,4,1,6,6,1,5,2,6,4,4,6,1,2,1,18,2,0,0,0,1,0,0,0,5,4,0
253,1,4,1,1,1,1,5,5,6,1,5,4,4,3,2,2,1,1,1,2,2,5,5,3,5,2,2,4,2,5,3,2,2,18,2,0,1,0,0,0,0,0,5,6,0
254,1,2,5,1,1,3,4,2,5,1,5,5,5,1,1,1,1,1,1,3,1,6,6,1,1,1,5,6,4,6,1,2,1,18,2,0,0,0,1,0,0,0,6,5,0
255,2,4,4,2,1,1,3,3,6,1,4,5,5,1,2,3,1,1,1,3,1,6,1,4,3,6,5,5,5,6,1,2,1,19,2,0,1,0,0,0,0,0,3,6,0
256,1,3,6,3,1,2,1,3,4,1,5,6,2,1,1,4,1,1,1,1,1,1,5,2,6,1,3,1,1,6,2,2,2,50,2,0,1,0,0,0,0,0,5,5,0
301,1,1,4,1,2,3,5,2,1,4,2,5,2,2,3,1,1,2,NA,4,1,5,5,2,2,2,5,5,3,5,2,3,1,18,2,0,0,1,0,0,0,0,4,3,0
302,1,1,4,1,2,3,2,1,3,1,3,3,2,2,2,2,1,2,1,2,1,5,4,4,2,3,4,4,3,4,2,3,1,19,2,0,0,0,1,0,0,0,5,3,0
303,1,2,2,1,1,1,3,1,3,3,2,5,1,2,2,1,1,1,2,5,1,6,5,1,5,1,4,1,1,6,1,3,2,18,1,0,0,0,1,0,0,0,6,6,0
304,1,4,5,1,2,2,5,3,4,1,4,5,4,2,2,1,1,2,1,2,1,6,6,4,5,2,3,2,1,5,4,3,2,18,2,0,0,0,1,0,0,0,6,6,0
305,1,3,4,1,1,1,3,2,5,1,2,5,3,1,2,1,1,2,1,3,2,4,3,2,5,1,3,2,1,5,3,3,2,18,1,0,0,0,1,0,0,0,5,5,0
306,2,3,4,2,1,1,4,4,3,1,5,4,2,2,2,4,1,3,2,3,1,3,5,2,3,3,4,3,2,4,2,3,1,19,1,0,0,0,1,0,0,0,4,6,0
307,1,1,1,1,3,1,2,1,2,1,1,2,1,1,3,1,1,1,2,4,1,4,6,3,3,2,5,2,1,6,1,3,1,19,2,0,0,0,1,0,0,0,6,6,0
308,1,3,4,1,2,2,4,2,2,3,3,5,4,2,2,1,1,1,2,3,2,5,6,2,2,2,6,6,2,6,1,3,1,18,2,0,0,0,1,0,0,0,4,2,0
309,1,3,2,2,1,2,3,3,3,2,3,5,2,3,2,4,1,1,2,2,1,6,6,2,5,4,3,4,4,5,5,3,2,18,1,0,0,0,1,0,0,0,6,6,0
310,1,1,2,1,3,3,5,1,3,2,1,3,2,2,4,2,1,1,2,4,2,4,5,3,1,1,6,5,5,5,3,3,1,19,2,0,0,0,1,0,0,0,5,5,0
311,1,1,4,1,4,5,2,1,3,4,2,4,2,1,3,1,1,1,2,4,1,3,3,2,4,5,5,5,6,6,3,3,1,21,1,0,0,0,1,0,0,0,5,5,0
312,1,5,5,1,1,2,6,5,4,4,5,6,5,3,5,1,1,2,3,5,3,4,5,5,1,2,3,4,1,3,4,3,1,18,1,0,0,0,1,0,0,0,6,6,0
313,1,1,3,1,3,3,5,1,3,1,1,3,1,1,2,1,3,3,1,2,3,2,2,2,3,4,3,4,4,5,2,3,2,18,1,0,0,0,1,0,0,0,6,6,1
314,1,1,4,1,1,3,4,1,3,3,4,4,3,2,4,3,1,2,2,3,1,6,6,2,3,2,5,2,5,5,2,3,1,21,1,0,1,0,0,0,0,0,2,4,0
315,1,5,6,1,1,2,5,5,5,1,4,6,5,1,2,2,1,1,2,2,1,5,6,3,5,2,4,3,2,6,3,3,2,19,2,0,1,0,0,0,0,0,6,5,0
316,5,6,6,3,1,2,6,6,6,1,6,6,6,4,1,4,1,1,3,2,1,5,4,3,6,3,6,5,2,6,6,3,2,19,2,0,0,1,0,0,0,0,1,1,0
317,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,3,2,1,4,4,3,1,1,6,1,3,1,19,1,0,0,0,1,0,0,0,5,5,0
318,1,1,4,1,4,1,2,1,4,4,1,4,1,1,4,2,1,1,1,4,2,5,4,3,5,1,5,5,5,5,5,3,2,18,2,1,0,0,0,0,0,0,2,2,0
319,1,1,4,5,2,2,4,2,5,1,3,4,1,3,4,4,1,3,2,5,2,4,5,2,2,2,6,4,3,5,3,3,1,18,1,0,0,0,1,0,0,0,5,5,0
320,2,4,4,1,2,3,5,4,5,1,4,5,2,4,5,4,1,1,1,5,1,6,5,5,5,1,5,5,1,5,4,3,2,18,2,0,1,0,0,0,0,0,6,6,0
321,1,5,2,2,1,1,1,5,5,1,4,6,4,3,3,3,1,1,1,1,1,5,5,2,6,3,2,5,4,5,6,3,2,18,2,0,0,0,1,0,0,0,5,6,0
322,1,4,1,1,1,1,3,2,1,1,2,2,1,4,4,NA,1,1,4,3,1,4,5,1,2,2,5,3,4,3,4,3,1,19,1,0,0,0,1,0,0,0,5,5,0
323,1,1,4,1,1,1,4,1,2,1,2,4,2,5,3,4,1,1,1,3,1,6,6,2,4,2,5,6,5,6,1,3,1,18,1,0,1,0,0,0,0,0,5,6,0
324,1,4,4,1,1,1,1,5,4,1,2,5,5,1,4,1,1,1,1,4,1,4,4,2,6,2,2,2,5,2,2,3,2,18,1,0,1,0,0,0,0,0,5,5,0
325,4,2,5,1,2,5,5,3,1,4,3,5,5,4,5,3,1,1,4,4,2,5,6,2,5,5,4,5,4,3,5,3,1,18,1,0,0,0,1,0,0,0,6,6,0
326,1,3,4,1,1,1,2,4,2,1,2,5,2,2,2,4,2,2,2,2,2,5,4,4,5,2,4,1,1,2,6,3,2,19,2,0,0,1,0,0,0,0,2,2,0
327,1,1,1,1,1,1,2,1,3,4,2,3,2,4,3,1,1,3,1,2,1,5,6,2,5,3,5,3,3,6,5,3,2,18,1,0,0,0,1,0,0,0,2,2,0
328,1,4,5,1,1,1,4,3,5,1,3,5,4,1,4,3,1,2,4,4,1,6,6,3,5,4,5,3,5,5,3,3,1,18,2,0,1,0,0,0,0,0,5,6,0
329,1,6,5,1,2,3,4,5,2,3,4,6,5,3,3,1,1,2,3,4,2,5,5,4,3,5,5,5,4,6,3,3,1,21,1,0,0,0,1,0,0,0,2,2,0
330,1,4,3,1,3,2,2,4,2,1,2,4,2,1,6,3,1,3,3,6,1,5,5,1,5,5,6,3,5,4,3,3,2,18,1,0,0,0,1,0,0,0,2,4,0
331,1,4,2,2,3,4,4,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,4,2,4,3,3,4,3,3,1,18,1,0,0,0,1,0,0,0,6,6,0
332,1,2,1,1,1,1,5,1,5,1,5,5,4,1,4,6,1,1,1,1,1,6,6,3,3,1,5,3,2,5,5,3,1,18,2,1,0,0,1,0,0,0,6,2,0
333,1,3,3,1,2,2,5,3,4,1,4,5,4,2,3,2,1,2,3,3,2,5,5,3,5,1,4,3,2,4,4,3,2,18,2,0,0,0,1,0,0,0,4,6,0
334,3,5,2,3,2,3,3,5,5,2,5,5,5,2,3,4,1,3,2,4,1,5,5,2,5,2,4,3,6,2,4,3,2,18,1,0,1,0,0,0,0,0,6,5,0
335,2,6,6,1,1,1,6,6,6,NA,6,6,6,1,1,1,1,1,1,1,1,2,4,3,4,2,4,3,3,5,1,3,1,19,2,0,0,0,0,0,0,1,1,2,0
336,1,4,6,1,1,1,3,4,5,1,4,6,4,1,1,1,1,1,1,2,1,3,3,2,4,2,3,1,1,6,1,3,2,19,2,0,0,0,1,0,0,0,2,1,0
337,1,1,4,1,3,5,4,1,4,3,2,4,2,4,4,2,1,2,5,3,1,6,6,3,1,1,6,6,3,4,1,3,1,19,2,0,0,0,1,0,0,0,5,5,0
338,3,2,4,3,1,2,4,2,2,1,2,5,2,3,3,2,1,1,2,3,1,5,4,2,5,1,3,5,3,5,5,3,2,19,2,0,0,0,1,0,0,0,5,5,0
339,1,4,5,1,2,2,4,3,4,1,4,5,3,4,4,1,2,2,1,4,1,4,4,3,2,4,6,4,3,6,2,3,1,18,1,0,0,0,1,0,0,0,5,6,0
340,1,4,2,1,1,4,5,4,2,2,3,6,3,2,2,2,1,1,3,4,1,6,6,2,5,4,5,5,2,4,4,3,2,18,1,0,0,0,1,0,0,0,5,3,0
341,1,2,3,1,1,4,5,1,2,1,1,3,1,1,3,2,1,1,1,2,1,5,3,1,1,1,6,4,6,6,1,3,1,19,2,0,0,0,1,0,0,0,3,4,0
